CUSTOMER;AGE;GENDER;OCCUPATION;TOTAL_INCOME;AREA;OBJECT_VER_NEW
1;41;L;PEG.SWASTA FORMAL;5000000;03. JATIM;MOTOR BEKAS
2;34;L;WIRASWASTA NON FORMAL;8790000;01. JABOTABEK;MOBIL BEKAS
3;27;L;PEG.SWASTA FORMAL;2999000;01. JABOTABEK;MOTOR BARU
4;30;L;WIRASWASTA NON FORMAL;4500000;03. JATIM;MOTOR BARU
5;52;L;WIRASWASTA NON FORMAL;2200000;03. JATIM;MOTOR BEKAS
6;42;L;WIRASWASTA NON FORMAL;10000000;03. JATIM;MOTOR BARU
7;34;L;PEG.SWASTA FORMAL;2700000;01. JABOTABEK;2W_MPL
8;33;L;WIRASWASTA NON FORMAL;5000000;01. JABOTABEK;MOTOR BARU
9;34;L;PEG.SWASTA FORMAL;10030000;01. JABOTABEK;MOBIL BEKAS
10;59;L;WIRASWASTA NON FORMAL;8000000;01. JABOTABEK;MOTOR BARU
11;38;L;PEG.SWASTA FORMAL;5000000;01. JABOTABEK;MOTOR BARU
12;25;L;PEG.SWASTA FORMAL;2800000;01. JABOTABEK;2W_MPL
13;29;P;PEG.SWASTA FORMAL;5000000;01. JABOTABEK;MOTOR BARU
14;40;L;PEG.SWASTA FORMAL;7500000;01. JABOTABEK;MOTOR BARU
15;29;L;WIRASWASTA NON FORMAL;5100000;01. JABOTABEK;MOTOR BARU
16;46;L;WIRASWASTA NON FORMAL;10000000;01. JABOTABEK;4W_MPL
17;53;L;PEG.NEGERI;5000000;01. JABOTABEK;MOTOR BARU
18;40;L;PEG.NEGERI;4500000;01. JABOTABEK;MOTOR BARU
19;24;L;WIRASWASTA FORMAL;5100000;09. SUMATERA SELATAN;MOTOR BARU
20;48;L;WIRASWASTA NON FORMAL;3000000;01. JABOTABEK;MOTOR BARU
21;31;L;PEG.SWASTA FORMAL;4000000;09. SUMATERA SELATAN;MOTOR BEKAS
22;41;L;PEG.SWASTA FORMAL;3000000;09. SUMATERA SELATAN;MOTOR BEKAS
23;33;L;WIRASWASTA NON FORMAL;4000000;03. JATIM;MOTOR BARU
24;53;L;WIRASWASTA NON FORMAL;4500000;03. JATIM;MOTOR BARU
25;34;L;PEG.SWASTA FORMAL;4600000;03. JATIM;MOTOR BARU
26;33;L;PEG.SWASTA FORMAL;2500000;03. JATIM;MOTOR BARU
27;24;L;PEG.SWASTA FORMAL;3000000;03. JATIM;2W_MPL
28;32;L;WIRASWASTA NON FORMAL;4000000;03. JATIM;MOTOR BARU
29;33;L;WIRASWASTA NON FORMAL;4250000;03. JATIM;MOTOR BARU
30;23;L;PEG.SWASTA FORMAL;4000000;03. JATIM;MOTOR BARU
31;28;L;PEG.SWASTA FORMAL;2500000;03. JATIM;MOTOR BARU
32;27;L;PEG.SWASTA FORMAL;4000000;03. JATIM;MOTOR BARU
33;42;P;PEG.SWASTA FORMAL;5000000;01. JABOTABEK;MOTOR BARU
34;48;L;PEG.SWASTA NON FORMAL;4000000;01. JABOTABEK;MOTOR BARU
35;52;P;WIRASWASTA NON FORMAL;4000000;01. JABOTABEK;MOTOR BARU
36;33;P;WIRASWASTA NON FORMAL;4500000;01. JABOTABEK;MOTOR BARU
37;43;P;PEG.SWASTA FORMAL;4000000;01. JABOTABEK;MOTOR BARU
38;48;L;PEG.SWASTA FORMAL;6700000;01. JABOTABEK;MOTOR BARU
39;37;P;WIRASWASTA FORMAL;5000000;01. JABOTABEK;MOTOR BARU
40;39;L;WIRASWASTA FORMAL;8000000;01. JABOTABEK;MOTOR BARU
41;42;L;WIRASWASTA FORMAL;5500000;01. JABOTABEK;MOTOR BARU
42;45;P;WIRASWASTA FORMAL;8000000;01. JABOTABEK;MOTOR BARU
43;36;P;PEG.NEGERI;8400000;01. JABOTABEK;MOTOR BARU
44;32;L;PEG.SWASTA FORMAL;3950000;01. JABOTABEK;2W_MPL
45;26;L;WIRASWASTA NON FORMAL;3000000;08. SUMATERA UTARA;MOTOR BEKAS
