CUSTOMER_ID;TOTAL_CONTRACT;TOTAL_OBJECT_MOTOR;AREA;DATE_OF_BIRTH;EDUCATION_LEVEL;GENDER;MARITAL_STATUS;MONTHLY_INCOME;TOTAL_INCOME;DEPENDENT;OCCUPATION;YEAR_OF_WORK;PERSONA;SEGMENT;KELOMPOK;FLAG
12;2;2;03. JATIM;1967-03-23 00:00:00.000;DIBAWAH SMTP                  ;L;KAWIN                         ;2000000;4500000;4;PEG.SWASTA NON FORMAL;5;04. LOW WAGE WORKER;GROUP A;PUNYA MOTOR > 1;1
14;2;2;03. JATIM;1966-09-30 00:00:00.000;SMTP/SEDERAJAT                ;P;DUDA/JANDA TANPA ANAK         ;15000000;4500000;0;WIRASWASTA FORMAL;6;01. TRADISIONALIST;GROUP A;PUNYA MOTOR > 1;1
16;2;2;01. JABOTABEK;1993-03-10 00:00:00.000;SMTA/SEDERAJAT                ;P;SINGLE                        ;3300000;3300000;0;PEG.SWASTA NON FORMAL;1;03. CLERICAL WORKER;GROUP A;PUNYA MOTOR > 1;1
19;2;2;01. JABOTABEK;1993-05-18 00:00:00.000;SMTA/SEDERAJAT                ;L;SINGLE                        ;2800000;2800000;0;PEG.SWASTA FORMAL;2;07. MILLENIALS;GROUP A;PUNYA MOTOR > 1;1
26;2;2;03. JATIM;1977-07-29 00:00:00.000;SMTP/SEDERAJAT                ;P;DUDA/JANDA DGN ANAK           ;4500000;3000000;5;WIRASWASTA NON FORMAL;8;01. TRADISIONALIST;GROUP A;PUNYA MOTOR > 1;1
34;2;2;03. JATIM;1988-03-22 00:00:00.000;SMTA/SEDERAJAT                ;L;KAWIN                         ;3500000;4500000;2;PEG.SWASTA FORMAL;5;03. CLERICAL WORKER;GROUP A;PUNYA MOTOR > 1;1
37;2;2;03. JATIM;1979-10-08 00:00:00.000;SMTP/SEDERAJAT                ;L;KAWIN                         ;3000000;4500000;3;PEG.SWASTA FORMAL;12;04. LOW WAGE WORKER;GROUP A;PUNYA MOTOR > 1;1
48;3;3;03. JATIM;1959-02-28 00:00:00.000;DIBAWAH SMTP                  ;L;KAWIN                         ;7200000;4200000;3;WIRASWASTA NON FORMAL;10;01. TRADISIONALIST;GROUP A;PUNYA MOTOR > 1;1
54;2;2;01. JABOTABEK;1977-07-24 00:00:00.000;SMTA/SEDERAJAT                ;L;SINGLE                        ;4350000;4350000;0;PEG.SWASTA FORMAL;10;04. LOW WAGE WORKER;GROUP A;PUNYA MOTOR > 1;1
79;2;2;03. JATIM;1981-08-17 00:00:00.000;SMTA/SEDERAJAT                ;L;KAWIN                         ;6000000;4500000;3;WIRASWASTA NON FORMAL;6;01. TRADISIONALIST;GROUP A;PUNYA MOTOR > 1;1
